Dataset,Model,Setting,Clean Accuracy,Surrogate Accuracy
Cora,GCN,Random Mask,84.191,84.191
Cora,GCN,Random Mask,84.191,84.191
Cora,GCN,Random Mask,84.191,84.191
Cora,GCN,Random Mask,84.926,84.926
Cora,GCN,Random Mask,84.926,84.926
Cora,GCN,Random Mask,84.926,84.926
Cora,GCN,Random Mask,83.824,83.824
Cora,GCN,Random Mask,83.824,83.824
Cora,GCN,Random Mask,83.824,83.824
Cora,GCN,Random Mask,84.191,84.191
Cora,GCN,Random Mask,84.191,84.191
Cora,GCN,Random Mask,84.191,84.191
Cora,GCN,Random Mask,84.926,84.926
Cora,GCN,Random Mask,84.926,84.926
Cora,GCN,Random Mask,84.926,84.926
Cora,GCN,Random Mask,83.824,83.824
Cora,GCN,Random Mask,83.824,83.824
Cora,GCN,Random Mask,83.824,83.824
Cora,SAGE,Random Mask,84.926,84.926
Cora,SAGE,Random Mask,84.926,84.926
Cora,SAGE,Random Mask,84.926,84.926
Cora,SAGE,Random Mask,85.294,85.294
Cora,SAGE,Random Mask,85.294,85.294
Cora,SAGE,Random Mask,85.294,85.294
Cora,SAGE,Random Mask,86.029,86.029
Cora,SAGE,Random Mask,86.029,86.029
Cora,SAGE,Random Mask,86.029,86.029
Cora,SAGE,Random Mask,84.926,84.926
Cora,SAGE,Random Mask,84.926,84.926
Cora,SAGE,Random Mask,84.926,84.926
Cora,SAGE,Random Mask,85.294,85.294
Cora,SAGE,Random Mask,85.294,85.294
Cora,SAGE,Random Mask,85.294,85.294
Cora,SAGE,Random Mask,86.029,86.029
Cora,SAGE,Random Mask,86.029,86.029
Cora,SAGE,Random Mask,86.029,86.029
Cora,SAGE,Random Mask,84.926,84.926
Cora,SAGE,Random Mask,84.926,84.926
Cora,SAGE,Random Mask,84.926,84.926
Cora,SAGE,Random Mask,85.294,85.294
Cora,SAGE,Random Mask,85.294,85.294
Cora,SAGE,Random Mask,85.294,85.294
Cora,SAGE,Random Mask,86.029,86.029
Cora,SAGE,Random Mask,86.029,86.029
Cora,SAGE,Random Mask,86.029,86.029
Cora,SAGE,Random Mask,84.926,84.926
Cora,SAGE,Random Mask,84.926,84.926
Cora,SAGE,Random Mask,84.926,84.926
Cora,SAGE,Random Mask,85.294,85.294
Cora,SAGE,Random Mask,85.294,85.294
Cora,SAGE,Random Mask,85.294,85.294
Cora,SAGE,Random Mask,86.029,86.029
Cora,SAGE,Random Mask,86.029,86.029
Cora,SAGE,Random Mask,86.029,86.029
DBLP,GAT,Random Mask,81.342,81.342
DBLP,GAT,Random Mask,81.342,81.342
DBLP,GAT,Random Mask,81.342,81.342
DBLP,GAT,Random Mask,81.567,81.567
DBLP,GAT,Random Mask,81.567,81.567
DBLP,GAT,Random Mask,81.567,81.567
DBLP,GAT,Random Mask,81.793,81.793
DBLP,GAT,Random Mask,81.793,81.793
DBLP,GAT,Random Mask,81.793,81.793
DBLP,GAT,Random Mask,81.342,81.342
DBLP,GAT,Random Mask,81.342,81.342
DBLP,GAT,Random Mask,81.342,81.342
DBLP,GAT,Random Mask,81.567,81.567
DBLP,GAT,Random Mask,81.567,81.567
DBLP,GAT,Random Mask,81.567,81.567
DBLP,GAT,Random Mask,81.793,81.793
DBLP,GAT,Random Mask,81.793,81.793
DBLP,GAT,Random Mask,81.793,81.793
DBLP,GAT,Random Mask,81.342,81.342
DBLP,GAT,Random Mask,81.342,81.342
DBLP,GAT,Random Mask,81.342,81.342
DBLP,GAT,Random Mask,81.567,81.567
DBLP,GAT,Random Mask,81.567,81.567
DBLP,GAT,Random Mask,81.567,81.567
DBLP,GAT,Random Mask,81.793,81.793
DBLP,GAT,Random Mask,81.793,81.793
DBLP,GAT,Random Mask,81.793,81.793
DBLP,GAT,Random Mask,81.342,81.342
DBLP,GAT,Random Mask,81.342,81.342
DBLP,GAT,Random Mask,81.342,81.342
DBLP,GAT,Random Mask,81.567,81.567
DBLP,GAT,Random Mask,81.567,81.567
DBLP,GAT,Random Mask,81.567,81.567
DBLP,GAT,Random Mask,81.793,81.793
DBLP,GAT,Random Mask,81.793,81.793
DBLP,GAT,Random Mask,81.793,81.793
DBLP,GCN,Random Mask,81.736,81.736
DBLP,GCN,Random Mask,81.736,81.736
DBLP,GCN,Random Mask,81.736,81.736
DBLP,GCN,Random Mask,81.285,81.285
DBLP,GCN,Random Mask,81.285,81.285
DBLP,GCN,Random Mask,81.285,81.285
DBLP,GCN,Random Mask,81.342,81.342
DBLP,GCN,Random Mask,81.342,81.342
DBLP,GCN,Random Mask,81.342,81.342
DBLP,GCN,Random Mask,81.736,81.736
DBLP,GCN,Random Mask,81.736,81.736
DBLP,GCN,Random Mask,81.736,81.736
DBLP,GCN,Random Mask,81.285,81.285
DBLP,GCN,Random Mask,81.285,81.285
DBLP,GCN,Random Mask,81.285,81.285
DBLP,GCN,Random Mask,81.342,81.342
DBLP,GCN,Random Mask,81.342,81.342
DBLP,GCN,Random Mask,81.342,81.342
DBLP,GCN,Random Mask,81.736,81.736
DBLP,GCN,Random Mask,81.736,81.736
DBLP,GCN,Random Mask,81.736,81.736
DBLP,GCN,Random Mask,81.285,81.285
DBLP,GCN,Random Mask,81.285,81.285
DBLP,GCN,Random Mask,81.285,81.285
DBLP,GCN,Random Mask,81.342,81.342
DBLP,GCN,Random Mask,81.342,81.342
DBLP,GCN,Random Mask,81.342,81.342
DBLP,GCN,Random Mask,81.736,81.736
DBLP,GCN,Random Mask,81.736,81.736
DBLP,GCN,Random Mask,81.736,81.736
DBLP,GCN,Random Mask,81.285,81.285
DBLP,GCN,Random Mask,81.285,81.285
DBLP,GCN,Random Mask,81.285,81.285
DBLP,GCN,Random Mask,81.342,81.342
DBLP,GCN,Random Mask,81.342,81.342
DBLP,GCN,Random Mask,81.342,81.342
DBLP,SAGE,Random Mask,83.484,83.484
DBLP,SAGE,Random Mask,83.484,83.484
DBLP,SAGE,Random Mask,83.484,83.484
DBLP,SAGE,Random Mask,83.145,83.145
DBLP,SAGE,Random Mask,83.145,83.145
DBLP,SAGE,Random Mask,83.145,83.145
DBLP,SAGE,Random Mask,83.709,83.709
DBLP,SAGE,Random Mask,83.709,83.709
DBLP,SAGE,Random Mask,83.709,83.709
DBLP,SAGE,Random Mask,83.484,83.484
DBLP,SAGE,Random Mask,83.484,83.484
DBLP,SAGE,Random Mask,83.484,83.484
DBLP,SAGE,Random Mask,83.145,83.145
DBLP,SAGE,Random Mask,83.145,83.145
DBLP,SAGE,Random Mask,83.145,83.145
DBLP,SAGE,Random Mask,83.709,83.709
DBLP,SAGE,Random Mask,83.709,83.709
DBLP,SAGE,Random Mask,83.709,83.709
DBLP,SAGE,Random Mask,83.484,83.484
DBLP,SAGE,Random Mask,83.484,83.484
DBLP,SAGE,Random Mask,83.484,83.484
DBLP,SAGE,Random Mask,83.145,83.145
DBLP,SAGE,Random Mask,83.145,83.145
DBLP,SAGE,Random Mask,83.145,83.145
DBLP,SAGE,Random Mask,83.709,83.709
DBLP,SAGE,Random Mask,83.709,83.709
DBLP,SAGE,Random Mask,83.709,83.709
DBLP,SAGE,Random Mask,83.484,83.484
DBLP,SAGE,Random Mask,83.484,83.484
DBLP,SAGE,Random Mask,83.484,83.484
DBLP,SAGE,Random Mask,83.145,83.145
DBLP,SAGE,Random Mask,83.145,83.145
DBLP,SAGE,Random Mask,83.145,83.145
DBLP,SAGE,Random Mask,83.709,83.709
DBLP,SAGE,Random Mask,83.709,83.709
DBLP,SAGE,Random Mask,83.709,83.709
PubMed,GAT,Random Mask,84.229,84.229
PubMed,GAT,Random Mask,84.229,84.229
PubMed,GAT,Random Mask,84.229,84.229
PubMed,GAT,Random Mask,83.722,83.722
PubMed,GAT,Random Mask,83.722,83.722
PubMed,GAT,Random Mask,83.722,83.722
PubMed,GAT,Random Mask,84.483,84.483
PubMed,GAT,Random Mask,84.483,84.483
PubMed,GAT,Random Mask,84.483,84.483
PubMed,GAT,Random Mask,84.229,84.229
PubMed,GAT,Random Mask,84.229,84.229
PubMed,GAT,Random Mask,84.229,84.229
PubMed,GAT,Random Mask,83.722,83.722
PubMed,GAT,Random Mask,83.722,83.722
PubMed,GAT,Random Mask,83.722,83.722
PubMed,GAT,Random Mask,84.483,84.483
PubMed,GAT,Random Mask,84.483,84.483
PubMed,GAT,Random Mask,84.483,84.483
PubMed,GAT,Random Mask,84.229,84.229
PubMed,GAT,Random Mask,84.229,84.229
PubMed,GAT,Random Mask,84.229,84.229
PubMed,GAT,Random Mask,83.722,83.722
PubMed,GAT,Random Mask,83.722,83.722
PubMed,GAT,Random Mask,83.722,83.722
PubMed,GAT,Random Mask,84.483,84.483
PubMed,GAT,Random Mask,84.483,84.483
PubMed,GAT,Random Mask,84.483,84.483
PubMed,GAT,Random Mask,84.229,84.229
PubMed,GAT,Random Mask,84.229,84.229
PubMed,GAT,Random Mask,84.229,84.229
PubMed,GAT,Random Mask,83.722,83.722
PubMed,GAT,Random Mask,83.722,83.722
PubMed,GAT,Random Mask,83.722,83.722
PubMed,GAT,Random Mask,84.483,84.483
PubMed,GAT,Random Mask,84.483,84.483
PubMed,GAT,Random Mask,84.483,84.483
PubMed,GCN,Random Mask,85.142,85.142
PubMed,GCN,Random Mask,85.142,85.142
PubMed,GCN,Random Mask,85.142,85.142
PubMed,GCN,Random Mask,85.548,85.548
PubMed,GCN,Random Mask,85.548,85.548
PubMed,GCN,Random Mask,85.548,85.548
PubMed,GCN,Random Mask,85.345,85.345
PubMed,GCN,Random Mask,85.345,85.345
PubMed,GCN,Random Mask,85.345,85.345
PubMed,GCN,Random Mask,85.142,85.142
PubMed,GCN,Random Mask,85.142,85.142
PubMed,GCN,Random Mask,85.142,85.142
PubMed,GCN,Random Mask,85.548,85.548
PubMed,GCN,Random Mask,85.548,85.548
PubMed,GCN,Random Mask,85.548,85.548
PubMed,GCN,Random Mask,85.345,85.345
PubMed,GCN,Random Mask,85.345,85.345
PubMed,GCN,Random Mask,85.345,85.345
PubMed,GCN,Random Mask,85.142,85.142
PubMed,GCN,Random Mask,85.142,85.142
PubMed,GCN,Random Mask,85.142,85.142
PubMed,GCN,Random Mask,85.548,85.548
PubMed,GCN,Random Mask,85.548,85.548
PubMed,GCN,Random Mask,85.548,85.548
PubMed,GCN,Random Mask,85.345,85.345
PubMed,GCN,Random Mask,85.345,85.345
PubMed,GCN,Random Mask,85.345,85.345
PubMed,GCN,Random Mask,85.142,85.142
PubMed,GCN,Random Mask,85.142,85.142
PubMed,GCN,Random Mask,85.142,85.142
PubMed,GCN,Random Mask,85.548,85.548
PubMed,GCN,Random Mask,85.548,85.548
PubMed,GCN,Random Mask,85.548,85.548
PubMed,GCN,Random Mask,85.345,85.345
PubMed,GCN,Random Mask,85.345,85.345
PubMed,GCN,Random Mask,85.345,85.345
PubMed,SAGE,Random Mask,87.677,87.677
PubMed,SAGE,Random Mask,87.677,87.677
PubMed,SAGE,Random Mask,87.677,87.677
PubMed,SAGE,Random Mask,88.032,88.032
PubMed,SAGE,Random Mask,88.032,88.032
PubMed,SAGE,Random Mask,88.032,88.032
PubMed,SAGE,Random Mask,87.576,87.576
PubMed,SAGE,Random Mask,87.576,87.576
PubMed,SAGE,Random Mask,87.576,87.576
PubMed,SAGE,Random Mask,87.677,87.677
PubMed,SAGE,Random Mask,87.677,87.677
PubMed,SAGE,Random Mask,87.677,87.677
PubMed,SAGE,Random Mask,88.032,88.032
PubMed,SAGE,Random Mask,88.032,88.032
PubMed,SAGE,Random Mask,88.032,88.032
PubMed,SAGE,Random Mask,87.576,87.576
PubMed,SAGE,Random Mask,87.576,87.576
PubMed,SAGE,Random Mask,87.576,87.576
PubMed,SAGE,Random Mask,87.677,87.677
PubMed,SAGE,Random Mask,87.677,87.677
PubMed,SAGE,Random Mask,87.677,87.677
PubMed,SAGE,Random Mask,88.032,88.032
PubMed,SAGE,Random Mask,88.032,88.032
PubMed,SAGE,Random Mask,88.032,88.032
PubMed,SAGE,Random Mask,87.576,87.576
PubMed,SAGE,Random Mask,87.576,87.576
PubMed,SAGE,Random Mask,87.576,87.576
PubMed,SAGE,Random Mask,87.677,87.677
PubMed,SAGE,Random Mask,87.677,87.677
PubMed,SAGE,Random Mask,87.677,87.677
PubMed,SAGE,Random Mask,88.032,88.032
PubMed,SAGE,Random Mask,88.032,88.032
PubMed,SAGE,Random Mask,88.032,88.032
PubMed,SAGE,Random Mask,87.576,87.576
PubMed,SAGE,Random Mask,87.576,87.576
PubMed,SAGE,Random Mask,87.576,87.576
